Data,Lon,Lat,Weather,Temp,Feels_like,Temp_min,Temp_max,Wind_speed,City,Country
17.11.2025,-38.51,-12.97,Clear,25.78,26.48,25.78,25.78,6.31,Salvador,BR
17.11.2025,-43.95,-19.81,Clouds,21.47,22.0,21.08,22.49,2.57,Venda Nova,BR
17.11.2025,-34.88,-8.05,Clouds,27.03,29.25,27.03,27.03,4.12,Recife,BR
17.11.2025,-49.27,-25.42,Rain,16.11,16.28,14.99,16.19,4.12,Curitiba,BR
17.11.2025,-43.2,-22.9,Clouds,25.14,25.59,24.9,25.93,4.12,Rio de Janeiro,BR
17.11.2025,-51.23,-30.03,Clouds,18.19,18.1,17.43,18.82,3.6,Porto Alegre,BR
17.11.2025,-48.54,-27.59,Clouds,19.25,19.58,18.74,19.4,4.12,Morro da Cruz,BR
17.11.2025,-46.46,-23.66,Clouds,19.95,20.59,19.51,21.76,1.83,Mauá,BR
17.11.2025,-46.63,-23.54,Clear,21.36,21.82,19.88,22.13,3.6,São Paulo,BR
