Data,Lon,Lat,Weather,Temp,Feels_like,Temp_min,Temp_max,Wind_speed,City,Country
19.11.2025,-38.51,-12.97,Clouds,27.78,31.42,27.78,27.78,4.36,Salvador,BR
19.11.2025,-43.95,-19.81,Clouds,23.28,23.02,22.39,23.65,5.14,Venda Nova,BR
19.11.2025,-34.88,-8.05,Clouds,30.03,33.3,30.03,30.03,6.17,Recife,BR
19.11.2025,-49.27,-25.42,Clear,18.55,18.31,17.62,19.02,4.63,Curitiba,BR
19.11.2025,-43.2,-22.9,Clouds,26.14,26.14,25.91,27.05,6.69,Rio de Janeiro,BR
19.11.2025,-51.2304,-30.0325,Clouds,20.76,20.17,20.75,21.26,1.54,Porto Alegre,BR
19.11.2025,-48.54,-27.59,Clear,22.75,22.52,22.75,23.86,1.54,Morro da Cruz,BR
19.11.2025,-46.46,-23.66,Clear,19.77,19.66,19.51,21.54,3.19,Mauá,BR
19.11.2025,-46.6339,-23.5444,Clouds,20.7,20.58,19.68,21.71,4.12,São Paulo,BR
